SpT,PS1gmag,e_PS1gmag,PS1rmag,PS1imag,e_PS1imag,PS1zmag,e_PS1zmag,PS1ymag,e_PS1ymag,Jmag,e_Jmag,Hmag,e_Hmag,Ksmag,e_Ksmag,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W4mag,e_W4mag,label
L1,,,21.93,19.82,0.01,18.34,0.03,17.33,0.01,15.47,0.05,14.65,0.08,14.4,0.08,13.87,0.03,13.58,0.03,12.64,,9.08,,true
L0,,,,20.67,0.02,19.14,0.01,18.17,0.01,16.15,0.1,15.49,0.12,14.88,0.12,14.8,0.03,14.42,0.05,12.13,,9.16,,true
L4gamma,,,,22.39,0.06,21.14,0.05,20.04,0.07,17.11,0.21,16.17,0.15,15.28,0.15,14.23,0.03,13.69,0.03,12.47,,9.06,,true
L5,,,,21.58,0.05,19.97,0.03,18.98,0.06,16.83,0.17,15.9,0.16,15.43,0.16,14.47,0.03,14.14,0.04,12.26,,9.08,,true
T0,,,,,,21.06,0.09,19.7,0.05,,,,,,,15.83,0.05,15.0,0.07,12.86,,9.35,,true
L6,,,,22.7,0.15,21.21,0.11,20.14,0.11,,,,,,,15.5,0.04,14.97,0.07,12.75,,9.22,,true
L4,,,,21.27,0.05,19.83,0.03,18.81,0.03,16.78,0.16,15.34,0.08,14.7,0.08,14.05,0.03,13.72,0.03,12.49,0.37,9.18,,true
T6,,,,,,,,20.58,0.18,,,,,,,17.66,0.22,16.19,0.23,12.04,,8.74,,true
T3,,,,,,,,20.58,0.12,,,,,,,17.48,0.15,17.07,0.44,12.73,,9.15,,true
L4:,,,21.43,19.19,0.01,17.79,0.01,16.85,0.01,14.68,0.03,13.7,0.03,13.05,0.03,12.45,0.02,12.2,0.02,11.8,0.18,9.36,,true
L5,,,,21.31,0.03,19.79,0.03,18.7,0.01,16.72,0.17,15.41,0.1,14.65,0.1,14.23,0.03,13.94,0.04,12.15,0.43,8.34,,true
L1,,,22.81,20.42,0.02,19.06,0.01,18.06,0.01,16.19,0.09,15.16,0.09,14.63,0.09,14.27,0.03,13.98,0.04,11.94,,8.96,,true
L9.5,,,,,,19.65,0.02,18.63,0.02,16.62,0.13,15.48,0.12,15.12,0.12,14.28,0.03,13.88,0.04,11.66,,8.97,,true
