SpT,PS1gmag,e_PS1gmag,PS1rmag,PS1imag,e_PS1imag,PS1zmag,e_PS1zmag,PS1ymag,e_PS1ymag,Jmag,e_Jmag,Hmag,e_Hmag,Ksmag,e_Ksmag,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W4mag,e_W4mag,label
L2,,,22.22,19.89,0.01,18.42,0.01,17.44,0.01,15.57,0.06,14.81,0.07,14.19,0.07,13.78,0.03,13.5,0.03,12.29,,9.31,,true
L1,,,,17.4,0.03,16.16,0.05,15.39,0.05,12.69,,12.73,0.08,12.19,0.08,,,,,,,,,true
L6,,,,21.41,0.03,19.24,0.01,18.14,0.03,16.1,0.08,15.27,0.09,14.67,0.09,13.83,0.03,13.41,0.03,12.66,0.48,9.1,,true
L2.6:INT-G,,,21.57,19.12,0.01,17.49,0.01,16.55,0.01,14.8,0.04,14.16,0.04,13.78,0.05,13.44,0.02,13.12,0.03,12.09,0.23,9.38,,true
L0,,,20.71,18.53,0.01,17.1,0.01,16.16,0.01,14.29,0.03,13.53,0.03,13.04,0.03,12.71,0.02,12.43,0.02,11.79,0.2,9.08,,true
L0gamma,,,22.86,20.47,0.02,18.96,0.02,17.89,0.02,15.8,0.07,14.81,0.05,14.04,0.05,13.65,0.03,13.28,0.03,12.52,,9.29,,true
L1,,,,21.13,0.03,19.92,0.04,18.99,0.03,17.03,0.18,16.03,0.15,15.33,0.15,15.05,0.03,14.82,0.07,11.72,,9.0,,true
L2:,,,,20.02,0.03,18.62,0.01,17.64,0.01,15.61,0.07,14.65,0.06,13.93,0.06,13.63,0.03,13.31,0.03,12.88,0.44,9.4,,true
L1.5,,,,20.11,0.02,18.62,0.01,17.68,0.01,15.78,0.05,15.0,0.06,14.35,0.06,13.91,0.03,13.57,0.03,12.08,,8.93,,true
L4,,,,,,20.45,0.04,19.4,0.02,16.98,0.2,15.94,0.23,15.47,0.23,14.75,0.03,14.3,0.05,12.47,,8.26,,true
T6,,,,,,19.83,0.01,17.95,0.02,15.38,0.05,15.14,0.17,15.22,0.17,14.65,0.03,12.93,0.03,11.49,0.14,9.2,,true
L8.5,,,,22.95,0.15,20.18,0.03,19.09,0.03,16.88,,15.87,0.13,15.01,0.13,14.29,0.03,13.69,0.04,12.0,0.37,9.05,,true
L4.5,,,,22.63,0.13,21.0,0.07,20.08,0.06,,,,,,,15.36,0.04,14.98,0.08,12.06,,9.07,,true
T2:,,,,,,20.48,0.11,19.25,0.04,17.19,0.18,16.17,0.19,15.62,0.19,15.25,0.04,14.31,0.04,12.74,,9.39,,true
L3,,,19.89,17.7,0.03,16.05,0.01,15.06,0.01,13.06,0.03,12.25,0.02,11.66,0.02,11.2,0.02,10.87,0.02,10.44,0.08,8.77,0.4,true
T8,,,,,,20.89,0.03,18.96,0.05,16.56,0.16,15.88,,16.01,,15.81,0.05,12.76,0.03,11.36,0.14,9.27,,true
T6,,,,,,,,20.97,0.13,,,,,,,17.73,0.19,15.27,0.09,12.42,,8.82,,true
T1,,,,,,21.52,0.09,20.03,0.06,,,,,,,15.51,0.04,14.79,0.05,12.77,,8.86,,true
L0,,,,20.46,0.02,19.03,0.01,18.13,0.01,16.21,0.1,15.7,0.18,15.22,0.18,14.95,0.03,14.62,0.05,12.28,,9.17,,true
L8,,,,20.21,0.03,17.76,0.01,,,14.67,0.04,13.52,0.03,12.88,0.03,12.03,0.02,11.6,0.02,10.57,0.07,8.93,,true
T1.5,,,,,,21.24,0.08,19.78,0.05,,,,,,,15.38,0.04,14.66,0.06,12.97,0.49,9.41,,true
L3.0INT-G,,,,20.6,0.02,19.14,0.02,18.18,0.02,15.91,0.07,14.87,0.06,14.19,0.06,13.64,0.03,13.21,0.03,12.55,0.36,9.41,,true
T2.5,,,,,,21.32,0.07,19.97,0.05,,,,,,,16.04,0.05,15.01,0.06,12.53,,9.12,,true
T5,,,,,,,,19.71,0.16,,,,,,,16.87,0.08,15.01,0.06,12.7,,9.32,,true
L3:,,,,22.72,0.09,21.23,0.08,20.41,0.07,,,,,,,15.86,0.05,15.48,0.1,11.79,,8.6,,true
L6pec(sl.blue),,,,20.97,0.04,19.08,0.02,17.99,0.01,15.88,0.08,14.73,0.06,14.31,0.06,13.63,0.03,13.28,0.03,11.68,,9.11,,true
T6,,,,,,22.0,0.15,20.11,0.06,,,,,,,16.83,0.08,15.25,0.08,12.63,,9.34,,true
L1:,,,,20.99,0.03,19.58,0.02,18.63,0.03,16.88,0.19,16.33,0.28,15.62,,15.52,0.04,15.25,0.08,12.52,,9.21,,true
L3,,,,21.11,0.03,19.61,0.02,18.68,0.02,16.53,0.12,15.43,0.08,14.63,0.08,14.21,0.03,13.84,0.04,11.93,,8.51,,true
T4,,,,,,21.81,0.09,20.06,0.1,,,,,,,17.18,0.1,15.68,0.1,12.87,,9.28,,true
L0,,,23.0,20.18,0.01,18.67,0.02,17.77,0.01,16.12,0.07,15.61,0.1,14.88,0.1,14.68,0.03,14.42,0.05,12.42,0.49,8.73,,true
T6,,,,,,,,19.61,0.07,17.13,0.09,17.08,0.12,16.93,0.17,16.77,0.1,14.67,0.06,12.37,,9.03,,true
L0,,,22.48,20.27,0.11,18.81,0.02,17.88,0.01,15.99,0.09,15.51,0.13,14.76,0.13,14.59,0.03,14.33,0.04,12.55,0.39,9.18,,true
L6:,,,,,,20.57,0.05,19.56,0.03,17.11,0.18,16.24,0.14,15.13,0.14,14.18,0.03,13.72,0.04,11.73,,8.88,,true
T6.5,,,,,,22.21,0.11,20.38,0.06,17.78,0.11,17.7,0.14,17.78,0.21,17.15,0.14,15.06,0.08,12.36,,8.58,,true
L1pec(blue),,,,20.14,0.03,18.49,0.01,17.57,0.01,15.8,0.06,15.19,0.07,14.71,0.07,14.43,0.03,14.12,0.05,11.97,,8.82,,true
L4.5,,,,20.79,0.02,19.04,0.01,17.97,0.03,15.75,0.06,14.66,0.07,14.06,0.07,13.39,0.02,13.1,0.03,12.93,0.4,9.51,,true
L5,,,,20.75,0.06,19.06,0.01,18.01,0.01,15.8,0.07,14.66,0.06,13.96,0.06,13.2,0.02,12.82,0.03,12.52,0.31,9.42,,true
L8,,,,,,19.4,0.02,18.19,0.02,16.03,0.08,14.93,0.07,14.31,0.07,13.36,0.02,12.77,0.03,11.56,0.26,8.78,,true
L0,21.08,0.03,19.11,16.8,0.01,15.37,0.01,14.39,0.01,12.53,0.02,11.82,0.02,11.24,0.02,10.93,0.02,10.65,0.02,10.06,0.06,8.61,,true
L5.5,,,,22.45,0.1,20.56,0.03,19.53,0.03,17.69,0.26,16.18,0.24,15.81,0.24,14.84,0.03,14.4,0.05,12.15,,8.82,,true
L6:(blue),,,,,,20.14,0.06,19.04,0.02,17.02,0.21,15.83,0.2,15.43,0.2,14.6,0.03,14.12,0.04,11.69,0.24,8.8,,true
T3,,,,,,19.82,0.02,18.35,0.02,16.06,0.09,15.44,0.15,15.27,0.15,14.7,0.03,13.51,0.03,11.76,,8.89,,true
L9.5,,,,,,20.29,0.05,19.13,0.03,16.96,0.24,16.39,0.24,15.75,0.24,15.21,0.04,14.66,0.06,11.84,,8.48,,true
T2.5,,,,,,20.07,0.02,18.61,0.02,16.59,0.15,15.59,,15.16,,14.98,0.04,13.93,0.04,11.94,,8.83,,true
L0:,,,21.57,19.14,0.02,17.65,0.01,16.58,0.01,14.58,0.04,13.77,0.04,13.11,0.04,12.66,0.02,12.32,0.02,11.67,0.13,9.23,,true
L3,,,,20.8,0.03,19.35,0.01,18.41,0.01,16.37,0.1,15.6,0.09,14.91,0.09,14.69,0.03,14.5,0.06,12.1,,8.85,,true
L1.5:,,,,22.67,0.08,21.01,0.04,20.05,0.05,,,,,,,15.8,0.05,15.8,0.16,12.13,,8.5,,true
L0:,,,,22.76,0.13,20.93,0.02,20.06,0.04,,,,,,,16.54,0.09,16.07,0.2,11.96,,8.19,,true
T3:,,,,,,,,20.95,0.1,,,,,,,,,,,,,,,true
L4:,,,,,,20.58,0.02,19.5,0.03,,,,,,,15.42,0.04,15.14,0.09,12.05,,8.84,,true
L7,,,,,,19.22,0.02,18.16,0.02,15.62,0.06,14.35,,13.61,,12.58,0.02,12.11,0.02,11.87,0.3,9.07,,true
L1:,,,,22.42,0.11,20.7,0.07,19.72,0.05,,,,,,,15.86,0.06,15.36,0.1,11.86,,8.76,,true
L3,,,,20.15,0.02,18.63,0.01,17.58,0.02,15.43,0.05,14.33,0.05,13.77,0.05,13.25,0.16,12.98,0.03,12.19,0.42,8.38,,true
T7,,,,,,20.77,0.04,18.92,0.03,16.54,0.07,16.15,0.08,,,15.35,0.04,13.53,0.03,11.88,0.34,8.69,,true
T5.5,,,,,,20.72,0.04,18.78,0.03,16.25,0.14,16.08,,16.53,,15.89,0.05,13.81,0.04,11.78,,8.97,,true
L3.5,,,22.41,20.24,0.03,18.7,0.01,17.68,0.01,15.48,0.05,14.4,0.05,13.84,0.05,13.19,0.12,12.76,0.03,12.04,,8.96,,true
L5beta,,,,21.27,0.04,19.63,0.02,18.55,0.02,16.13,0.09,14.79,0.07,13.92,0.07,12.96,0.02,12.45,0.02,12.24,0.25,9.29,,true
L3,,,,20.56,0.02,19.19,0.01,18.22,0.01,15.99,0.09,14.98,0.08,14.16,0.08,13.66,0.03,13.32,0.03,11.99,0.31,8.89,,true
L8,,,,,,19.84,0.03,18.65,0.02,16.69,0.14,15.55,0.11,14.92,0.11,14.13,0.03,13.6,0.04,12.12,,8.84,,true
T5,,,,,,,,20.11,0.15,,,,,,,17.5,0.19,15.15,0.09,12.51,,9.06,,true
L5:,,,,22.63,0.12,21.33,0.08,20.37,0.04,,,,,,,15.35,0.04,15.0,0.08,12.4,,8.27,,true
L0:,,,,20.59,0.05,19.19,0.01,18.33,0.02,16.52,0.11,15.88,0.18,15.53,0.18,15.28,0.04,14.93,0.08,12.32,,9.11,,true
L1,,,,22.42,0.17,21.21,0.09,20.21,0.03,,,,,,,16.74,0.1,16.81,,12.49,,8.99,,true
L4,,,,20.27,0.01,18.45,0.01,17.43,0.01,15.31,0.05,14.42,0.05,13.84,0.05,13.3,0.03,13.03,0.03,12.35,0.44,8.86,,true
L4,,,,21.74,0.06,20.52,0.05,19.56,0.04,,,,,,,15.21,0.04,14.82,0.07,11.87,,8.24,,true
L9:,,,,,,19.75,0.02,18.58,0.03,16.47,0.1,15.16,0.09,14.72,0.09,13.64,0.03,12.96,0.03,12.14,0.38,8.24,,true
L0.5,,,,21.0,0.03,19.56,0.02,18.86,0.03,17.26,0.22,16.46,0.25,15.88,,15.96,0.06,15.4,0.11,12.22,,8.6,,true
T5,,,,,,20.74,0.05,18.94,0.02,16.54,0.12,16.53,0.24,15.77,0.24,15.86,0.06,14.33,0.05,11.74,,8.79,,true
L4.5,,,,20.74,0.14,19.02,0.03,17.94,0.02,15.62,0.06,14.41,0.04,13.58,0.04,12.84,0.02,12.49,0.02,12.09,0.35,8.93,,true
L0,,,,21.32,0.06,19.76,0.02,18.89,0.02,,,,,,,15.92,0.06,15.65,0.14,12.51,,8.86,,true
L3:,,,,21.39,0.06,19.99,0.03,18.98,0.05,16.79,0.15,15.83,0.14,15.06,0.14,14.44,0.03,14.01,0.04,12.25,,9.1,,true
T2,,,,,,20.56,0.08,19.18,0.03,,,,,,,15.47,0.04,14.43,0.04,12.19,,9.08,,true
L5,,,,21.98,0.06,20.22,0.02,19.15,0.02,16.98,0.22,15.98,0.18,15.23,0.18,14.52,0.03,14.18,0.05,12.51,,8.55,,true
L1.0VL-G,,,,20.72,0.03,19.2,0.04,18.12,0.01,15.92,0.09,15.35,0.09,14.38,0.09,13.98,0.03,13.58,0.03,12.24,,9.04,,true
L0,,,,,,21.85,0.09,20.92,0.11,,,,,,,16.26,0.09,16.07,0.19,11.89,,8.88,,true
L0,,,,,,21.35,0.08,20.19,0.04,17.73,0.11,16.61,0.11,15.96,0.08,,,,,,,,,true
L1,,,21.43,19.11,0.01,17.57,0.01,16.57,0.01,14.74,0.03,13.91,0.05,13.52,0.05,13.1,0.02,12.78,0.03,11.57,0.22,8.37,,true
L0,,,,,,21.93,0.09,20.36,0.14,,,,,,,15.57,0.07,15.19,0.11,11.1,0.17,8.88,,true
L0,,,,,,21.98,0.07,20.76,0.17,,,,,,,15.6,0.06,15.09,0.1,11.83,,8.48,,true
L0,,,20.7,18.35,0.01,16.89,0.01,15.91,0.01,14.0,0.03,13.21,0.02,12.67,0.02,12.36,0.02,12.1,0.02,12.33,0.51,8.85,,true
L0,,,,22.74,0.1,21.09,0.06,20.06,0.07,,,,,,,15.96,0.06,15.52,0.12,12.33,,8.36,,true
L7(red),,,,,,20.79,0.03,19.65,0.19,17.29,0.22,16.3,0.11,15.01,0.11,13.85,0.03,13.22,0.03,12.34,0.47,8.94,,true
L4,,,,,,21.5,0.12,20.43,0.04,,,,,,,16.0,0.06,15.9,0.17,12.3,0.45,8.28,,true
L1,,,23.04,20.75,0.03,19.26,0.03,18.27,0.01,16.33,0.09,15.53,0.13,15.13,0.13,14.76,0.03,14.56,0.05,12.64,,8.95,,true
T1:,,,,,,19.95,0.02,18.84,0.03,16.47,0.13,15.57,0.12,15.0,0.12,14.54,0.03,13.92,0.04,12.37,0.44,8.55,,true
L1,,,,22.56,0.13,21.24,0.05,20.37,0.08,18.26,,16.83,0.14,16.52,0.14,15.96,0.06,15.59,0.13,12.52,,8.77,,true
L1.5,,,,20.59,0.05,19.1,0.02,18.09,0.03,15.94,0.09,14.81,0.07,14.26,0.07,13.58,0.03,13.28,0.03,11.69,,8.89,,true
L1,,,21.66,19.88,0.01,18.41,0.01,17.47,0.01,15.45,0.06,14.65,0.05,14.18,0.05,13.78,0.03,13.46,0.03,12.39,,8.42,,true
L4.5,,,,,,22.03,0.11,21.14,0.15,,,,,,,16.25,0.07,16.03,0.2,12.12,,8.68,,true
L1,,,,22.18,0.08,20.63,0.07,19.54,0.07,,,,,,,15.67,0.05,15.21,0.09,12.07,,8.94,,true
L3,,,,,,21.38,0.1,20.27,0.08,,,,,,,15.93,0.06,15.58,0.14,11.74,,8.6,0.46,true
L0,,,,22.33,0.06,20.78,0.04,19.68,0.03,,,,,,,15.75,0.05,15.74,0.14,12.48,,8.6,,true
L2:,,,,21.53,0.06,19.99,0.03,19.0,0.03,17.28,0.21,16.19,0.21,15.74,0.21,15.05,,15.41,0.1,12.54,,8.88,,true
L5gamma,,,21.54,19.26,0.01,17.63,0.01,16.64,0.01,14.05,0.02,12.53,0.02,11.53,0.02,10.53,0.02,9.94,0.02,9.22,0.04,8.69,0.49,true
L3,,,,20.69,0.05,19.32,0.02,18.3,0.01,16.11,0.08,15.05,0.06,14.28,0.06,13.64,0.03,13.31,0.03,11.79,,9.02,,true
L0,,,,20.18,0.02,18.7,0.01,17.76,0.01,15.95,0.08,15.06,0.09,14.6,0.09,14.43,0.03,14.13,0.05,12.65,,8.88,,true
L4:,,,,,,20.64,0.08,19.64,0.04,17.16,0.21,16.04,,15.52,0.21,15.07,0.03,14.9,0.07,12.0,,9.07,,true
L1:VL-G,,,,21.72,0.03,20.08,0.02,19.04,0.03,16.81,0.17,15.73,0.17,15.36,0.17,14.99,0.04,14.32,0.05,11.98,,8.58,0.39,true
L3,,,20.31,18.08,0.01,16.57,0.01,15.56,0.01,13.41,0.02,12.43,0.02,11.82,0.02,11.28,0.02,11.0,0.02,10.73,0.12,8.64,,true
L2,,,20.94,18.86,0.01,17.37,0.01,16.37,0.01,14.15,0.03,13.1,0.02,12.42,0.02,11.85,0.02,11.56,0.02,11.38,0.18,8.85,,true
L3.5,,,22.29,20.25,0.01,18.72,0.01,17.69,0.01,15.48,0.06,14.35,0.04,13.56,0.04,12.97,0.02,12.57,0.03,12.15,,8.94,,true
T5,,,,,,20.12,0.07,18.54,0.02,16.06,0.09,16.02,0.26,15.92,0.26,15.47,0.05,13.91,0.04,12.12,0.39,8.54,,true
L2,,,20.9,18.64,0.01,17.23,0.01,16.25,0.01,14.22,0.03,13.34,0.02,12.82,0.02,12.39,0.02,12.1,0.02,11.66,0.23,8.73,,true
L3,,,,20.14,0.01,18.67,0.01,17.63,0.01,15.51,0.05,14.5,0.05,13.85,0.05,13.27,0.02,12.93,0.03,12.09,,8.84,,true
L0.5,,,,20.03,0.02,18.65,0.01,17.67,0.01,15.75,0.07,14.78,0.06,14.17,0.06,13.95,0.03,13.7,0.04,11.75,,8.25,,true
T6,,,,,,,,19.71,0.05,17.16,0.09,17.26,0.12,16.98,0.18,16.88,0.11,15.04,0.08,11.87,,8.88,,true
L0.5,,,22.16,19.55,0.01,18.1,0.01,17.2,0.01,15.3,0.05,14.66,0.06,14.14,0.06,13.81,0.03,13.52,0.03,12.29,,8.63,,true
L3,,,,20.64,0.1,19.39,0.03,18.39,0.08,16.19,0.11,15.55,0.13,14.93,0.13,14.36,0.03,14.08,0.03,12.37,0.3,8.82,,true
T8,,,,,,,,18.48,0.09,15.7,0.06,15.54,0.2,15.43,0.2,15.14,0.04,12.29,0.03,11.09,0.13,8.24,,true
L1,,,,,,19.75,0.02,18.73,0.01,16.54,0.13,15.43,0.13,14.84,0.13,,,,,,,,,true
L1,,,,20.08,0.05,18.62,0.01,17.66,0.02,15.77,0.07,14.92,0.06,14.45,0.06,14.09,0.03,13.85,0.04,12.07,,8.96,,true
L7.5,,,21.93,20.13,0.02,17.77,0.01,16.59,0.01,14.47,0.03,13.46,0.03,12.93,0.03,12.18,0.02,11.59,0.02,10.56,0.09,8.41,,true
L0.5,,,20.23,17.95,0.01,16.5,0.01,15.52,0.01,13.51,0.02,12.67,0.03,12.12,0.03,11.72,0.02,11.47,0.02,10.96,0.13,8.64,,true
T1,,,,,,21.92,0.15,20.66,0.1,,,,,,,15.28,0.04,14.83,0.1,11.69,,8.27,,true
T2.5,,,,,,20.82,0.11,19.23,0.04,,,,,,,15.6,0.05,14.72,0.08,11.86,,8.51,,true
L3.5,,,,,,20.17,0.04,19.09,0.05,16.73,0.16,15.77,0.12,14.8,0.12,14.23,0.03,13.8,0.05,11.69,,8.89,,true
L0,,,,22.16,0.12,20.91,0.04,19.78,0.07,17.38,0.19,16.13,0.15,15.44,0.15,14.45,0.03,13.9,0.04,11.68,,9.1,,true
L6.5,,,21.44,19.53,0.01,17.51,0.01,16.49,0.01,14.41,0.03,13.41,0.02,12.82,0.02,12.06,0.02,11.69,0.02,11.07,0.12,8.81,,true
T4.5,,,,,,20.52,0.04,19.05,0.03,,,,,,,15.13,0.04,14.22,0.05,11.68,,8.68,,true
L6:,,,,,,19.93,0.04,18.96,0.03,16.83,0.19,15.78,0.15,15.03,0.15,14.24,0.03,13.78,0.04,11.82,,8.6,,true
L6(blue),,,,21.0,0.19,19.44,0.02,18.42,0.05,16.43,0.12,15.53,0.16,15.14,0.16,14.26,0.03,13.75,0.03,12.21,0.34,8.88,,true
L2,,,,21.23,0.05,19.62,0.02,18.64,0.03,16.68,0.12,15.29,0.09,14.52,0.09,13.94,0.03,13.56,0.03,12.19,0.41,8.97,,true
T2:,,,,22.95,0.12,20.43,0.04,18.99,0.04,16.48,0.11,15.99,0.22,15.55,0.22,14.83,0.03,14.24,0.04,12.69,0.44,8.8,,true
L5:,,,,20.79,0.02,19.27,0.02,18.28,0.02,15.97,0.07,14.79,0.05,14.01,0.05,13.44,0.02,13.05,0.03,12.05,0.28,9.24,,true
T5pec,,,,,,,,19.1,0.08,16.99,0.17,16.39,0.19,16.56,,16.29,0.06,14.24,0.04,12.33,,8.91,,true
L3:,,,22.07,19.69,0.01,18.22,0.01,17.19,0.01,15.14,0.04,14.06,0.04,13.47,0.04,12.95,0.02,12.61,0.02,12.03,0.21,9.1,,true
T2,,,,,,19.01,0.01,17.27,0.01,14.9,0.04,14.2,0.06,14.02,0.06,13.36,0.03,12.43,0.02,10.96,0.14,9.07,,true
L0.5,,,22.15,19.89,0.02,18.45,0.01,17.49,0.01,15.6,0.06,14.55,0.06,14.02,0.06,13.72,0.03,13.49,0.03,11.95,,8.88,,true
L4,,,20.78,18.58,0.01,16.98,0.01,15.93,0.01,13.67,0.02,12.68,0.02,12.06,0.02,11.51,0.02,11.24,0.02,10.93,0.14,8.36,,true
L4gamma,,,,20.04,0.03,18.49,0.02,17.45,0.02,14.98,0.04,13.71,0.04,12.96,0.04,12.05,0.02,11.52,0.02,10.75,0.11,8.94,,true
L0,22.7,0.12,20.8,18.43,0.01,16.96,0.01,16.02,0.01,14.27,0.03,13.39,0.03,12.96,0.03,12.65,0.03,12.41,0.03,11.22,0.22,8.48,,true
T4.5,,,,,,20.02,0.03,18.18,0.03,15.75,0.07,15.35,0.2,15.6,0.2,14.92,0.04,13.64,0.03,11.86,0.27,8.68,,true
L2:VL-G,,,,21.73,0.1,20.23,0.03,19.21,0.05,16.93,0.14,16.47,0.22,15.82,0.22,15.15,0.05,14.49,0.07,11.78,,8.61,,true
L2.5INT-G,,,22.06,19.98,0.01,18.6,0.01,17.61,0.01,15.35,0.06,14.34,0.06,13.81,0.06,13.25,0.02,12.93,0.03,12.14,,9.02,,true
L5gamma,,,,20.79,0.04,18.93,0.06,17.82,0.04,15.46,0.06,14.16,0.04,13.29,0.04,12.39,0.02,11.92,0.02,11.4,0.13,9.06,,true
T6.5,,,,,,20.35,0.11,18.74,0.02,16.21,0.06,16.13,0.08,16.05,0.11,15.84,0.06,13.9,0.04,12.53,,9.04,,true
L1.5VL-G,,,23.05,21.63,0.05,19.78,0.03,18.73,0.03,,,,,,,14.69,0.04,14.0,0.05,12.05,,8.17,,true
T5.5,,,,,,20.1,0.05,18.39,0.02,15.98,0.08,15.72,0.2,15.49,0.2,15.5,0.05,13.65,0.03,12.02,,8.88,,true
L1gamma,,,,19.99,0.02,18.49,0.01,17.5,0.01,15.26,0.04,14.3,0.04,13.62,0.04,13.04,0.02,12.66,0.03,12.59,0.41,8.92,,true
L7,,,,,,19.53,0.05,18.27,0.02,15.98,0.1,14.83,0.07,14.16,0.07,13.4,0.02,12.85,0.03,11.79,0.23,8.41,,true
T7.5,,,,,,19.49,0.04,17.87,0.03,15.26,,15.22,0.1,14.67,,14.11,0.03,12.29,0.02,10.3,0.08,8.96,0.53,true
L2.5,,,19.93,17.61,0.01,16.18,0.01,15.18,0.01,13.08,0.02,12.22,0.03,11.64,0.03,11.17,0.02,10.87,0.02,10.38,0.07,8.62,,true
L1VL-G,,,,21.3,0.04,19.59,0.02,18.46,0.04,16.26,0.11,15.44,0.12,14.97,0.11,14.3,0.03,13.77,0.04,12.12,,8.77,,true
L1,,,20.94,18.55,0.01,17.08,0.01,16.07,0.01,14.05,0.03,13.26,0.03,12.71,0.03,12.22,0.05,11.92,0.05,11.14,0.17,8.88,,true
L3,,,21.81,19.71,0.02,18.24,0.01,17.31,0.02,15.44,0.06,14.42,0.06,13.86,0.06,13.3,0.03,12.97,0.03,12.13,0.4,8.74,,true
L2gamma,,,22.68,20.7,0.03,19.13,0.01,18.14,0.02,15.77,0.08,14.69,0.06,13.85,0.06,13.26,0.03,12.76,0.03,12.16,0.34,8.88,,true
L0,,,,21.81,0.08,20.26,0.04,19.43,0.04,17.53,0.24,16.22,0.28,15.77,0.28,15.38,0.04,15.2,0.09,12.47,,8.94,,true
L0,,,22.07,21.42,0.07,19.92,0.02,19.07,0.06,,,,,,,15.56,0.05,14.99,0.07,11.66,,7.26,0.19,true
L1.5,,,,18.97,0.03,17.69,0.01,16.67,0.01,14.76,0.04,13.91,0.03,13.32,0.03,,,,,,,,,true
L5,,,21.23,19.08,0.11,17.16,0.01,16.1,0.01,14.03,0.03,13.1,0.02,12.53,0.02,11.89,0.02,11.59,0.02,11.72,0.29,9.07,,true
L0,,,,22.27,0.09,20.35,0.03,19.34,0.06,,,,,,,15.97,0.06,16.27,0.22,11.87,,8.98,,true
T6.5,,,,,,20.95,0.03,19.21,0.04,16.64,0.08,16.57,0.1,16.63,0.14,16.23,0.06,13.95,0.04,12.12,,8.76,,true
L1,,,20.41,18.08,0.01,16.7,0.01,15.66,0.01,13.57,0.03,12.67,0.02,12.05,0.02,11.66,0.02,11.39,0.02,10.76,0.09,9.01,,true
T5,,,,,,20.64,0.07,18.69,0.02,16.18,0.09,16.27,,15.47,,15.9,0.05,13.91,0.04,12.42,,9.07,,true
L2,,,21.44,19.14,0.01,17.59,0.01,16.57,0.01,14.44,0.03,13.49,0.03,12.84,0.03,12.35,0.02,12.04,0.02,11.57,0.21,8.37,,true
L8,,,,21.3,0.04,19.73,0.02,18.72,0.02,16.63,0.13,15.69,0.13,14.71,0.13,13.86,0.03,13.35,0.03,12.33,0.38,9.07,,true
L4pec,,,,21.19,0.05,19.69,0.02,18.66,0.02,16.37,0.09,15.48,0.08,14.87,0.08,,,,,,,,,true
L1:,,,,21.33,0.04,19.8,0.04,18.77,0.04,,,,,,,15.5,0.04,15.04,0.07,12.77,,9.08,,true
T4.5,,,,,,18.02,0.01,16.31,0.02,13.8,0.02,13.68,0.05,13.58,0.05,13.39,0.03,11.91,0.02,10.61,0.09,8.74,,true
T4.5,,,,,,19.73,0.02,18.0,0.03,15.54,0.07,15.59,0.16,15.17,0.16,15.18,0.04,13.59,0.04,12.51,,8.99,,true
L1:,,,20.97,18.71,0.01,17.28,0.01,16.3,0.01,14.27,0.03,13.36,0.02,12.68,0.02,12.22,0.02,11.95,0.02,11.72,0.22,9.15,,true
L1,,,19.27,16.87,0.01,15.38,0.01,14.34,0.01,12.3,0.02,11.45,0.02,10.87,0.02,10.42,0.02,10.14,0.02,9.66,0.05,8.48,,true
L0:,,,21.22,18.9,0.01,17.4,0.01,16.38,0.01,14.51,0.04,13.73,0.03,13.15,0.03,12.84,0.02,12.55,0.02,12.65,0.49,8.55,,true
L8,,,22.2,20.07,0.01,17.37,0.01,16.3,0.01,14.22,0.03,13.04,0.03,12.47,0.02,11.54,0.02,10.94,0.02,9.89,0.06,8.35,,true
L2.5,,,21.63,19.53,0.02,18.04,0.03,17.14,0.01,14.94,0.04,14.03,0.03,13.33,0.03,12.86,0.02,12.54,0.02,11.77,0.25,9.07,,true
T0,,,,,,19.01,0.01,17.72,0.02,15.49,0.06,14.65,0.07,14.22,0.07,13.56,0.03,12.92,0.03,11.93,0.28,8.62,,true
T6,,,,,,,,19.45,0.16,17.0,0.09,17.06,0.11,17.34,0.21,16.4,0.06,14.04,0.04,12.45,,8.73,,true
L0.5,,,,20.0,0.02,18.72,0.01,17.66,0.06,15.96,0.08,15.18,0.1,14.51,0.1,,,,,,,,,true
T6,,,,,,,,19.28,0.07,16.93,0.16,16.36,0.25,16.28,,16.24,0.08,13.63,0.03,11.9,,8.92,,true
L2,,,21.4,19.15,0.01,17.74,0.01,16.79,0.01,14.78,0.03,13.9,0.04,13.38,0.04,13.01,0.02,12.77,0.03,12.25,,9.08,,true
T7,,,,,,21.08,0.14,19.36,0.05,16.9,0.08,16.82,0.1,16.81,0.14,16.62,0.11,14.24,0.05,11.98,,8.3,,true
L9:,,,,,,19.83,0.01,18.81,0.01,16.59,0.14,15.6,0.12,15.02,0.12,14.25,0.03,13.63,0.04,11.87,,8.89,,true
L2:,,,20.6,18.16,0.01,16.63,0.01,15.66,0.01,13.75,0.03,12.98,0.03,12.54,0.03,12.2,0.02,11.95,0.02,11.3,0.16,8.89,,true
L1,,,20.37,18.0,0.01,16.51,0.01,15.53,0.01,13.41,0.05,12.77,0.03,12.27,0.03,11.88,0.02,11.68,0.02,11.43,0.16,9.12,,true
T6,,,,,,,,19.39,0.03,17.1,0.1,16.9,0.1,16.84,0.15,16.51,0.08,14.43,0.05,12.51,0.48,8.63,,true
L1,,,22.69,20.3,0.02,18.73,0.01,17.78,0.01,15.93,0.09,15.21,0.12,14.86,0.12,14.29,0.03,14.27,0.04,12.31,,9.07,,true
